date,nav,invested_pct,daily_log_ret,regime,holdings,stopped_dwell,stopped_term
2026-07-02,9996.57946165764,34.205383423621775,0.0,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-06,10053.795858308442,34.205383423621775,0.0057072798934683,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-07,10058.037399473722,36.67192715721895,0.000421795584102,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-08,10027.265058588331,38.11693400728794,-0.0030641674454983,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-09,10046.891894984245,38.11693400728794,0.0019554338142583,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-10,10026.057463902747,40.45595793859322,-0.002075872179092,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-13,9983.429226854909,43.0222443465813,-0.0042608091049814,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-14,9912.683478578794,44.63122197961912,-0.0071115445998545,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-15,9939.717888421064,47.63122197961912,0.0027235422106931,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-16,9825.278253870823,49.70458863435803,-0.011580160460192,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-17,9775.626234609466,51.47246390261064,-0.0050663096179122,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-20,9763.518551231964,54.01660295737942,-0.0012393259848288,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-21,9807.870152155485,54.01660295737942,0.0045322973772758,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-22,9839.616245600795,58.106353669456404,0.0032315707393595107,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
2026-07-23,9789.58363764769,58.106353669456404,-0.005097784586445506,"Defensive-AMA (CAPE frothy, 38.0)","GE, GS, GOOGL, AVGO, IBM, JPM, JNJ",False,False
