band_pct,n_rebals,turnover,cagr_pct,sharpe,max_dd_pct
0.0,203,3.861668885994514,12.344140895369883,1.1212890441411187,-9.115892858608715
3.0,14,1.0367408024044038,12.278980012084606,1.1047550217647943,-9.431122014439051
5.0,6,0.7082980077920713,12.321244904117368,1.1088378153656098,-9.163814118113205
8.0,4,0.6905463382991426,12.43628584221721,1.11733082706935,-9.485572141467788
12.0,2,0.5067687803982881,12.467387335945347,1.0894818632480878,-10.216051050058079
