date,nav,invested_pct,daily_log_ret,stopped_out,peak_nav,holdings
2026-07-02,9990.0,100.0,0.0,False,9990.0,"MNST, JNJ, SNA, INCY, ABBV, EW, CL, AME, WTS, NYT, KO, LIN, AM, PG, DTM, GILD, BMY, VRTX"
2026-07-06,9900.51314930526,100.0,-0.0089980036000573,False,9990.0,"MNST, JNJ, SNA, INCY, ABBV, EW, CL, AME, WTS, NYT, KO, LIN, AM, PG, DTM, GILD, BMY, VRTX"
2026-07-07,9970.477615428012,100.0,0.0070418990244988,False,9990.0,"MNST, JNJ, SNA, INCY, ABBV, EW, CL, AME, WTS, NYT, KO, LIN, AM, PG, DTM, GILD, BMY, VRTX"
2026-07-08,9833.76569506135,100.0,-0.013806545384557,False,9990.0,"MNST, JNJ, SNA, INCY, ABBV, EW, CL, AME, WTS, NYT, KO, LIN, AM, PG, DTM, GILD, BMY, VRTX"
2026-07-09,9798.670884344325,100.0,-0.0035751902680903,False,9990.0,"MNST, JNJ, SNA, INCY, ABBV, EW, CL, AME, WTS, NYT, KO, LIN, AM, PG, DTM, GILD, BMY, VRTX"
2026-07-10,9775.659833432032,100.0,-0.0023511466976094,False,9990.0,"MNST, JNJ, SNA, INCY, ABBV, EW, CL, AME, WTS, NYT, KO, LIN, AM, PG, DTM, GILD, BMY, VRTX"
2026-07-13,9781.952182727737,100.0,0.0006434680785789,False,9990.0,"MNST, JNJ, SNA, INCY, ABBV, EW, CL, AME, WTS, NYT, KO, LIN, AM, PG, DTM, GILD, BMY, VRTX"
2026-07-14,9718.10329976262,100.0,-0.0065486081512268,False,9990.0,"MNST, JNJ, SNA, INCY, ABBV, EW, CL, AME, WTS, NYT, KO, LIN, AM, PG, DTM, GILD, BMY, VRTX"
2026-07-15,9701.562720613902,100.0,-0.0017034879107857,False,9990.0,"MNST, JNJ, SNA, INCY, ABBV, EW, CL, AME, WTS, NYT, KO, LIN, AM, PG, DTM, GILD, BMY, VRTX"
2026-07-16,9907.95281639384,100.0,0.0210507716919568,False,9990.0,"MNST, JNJ, SNA, INCY, ABBV, EW, CL, AME, WTS, NYT, KO, LIN, AM, PG, DTM, GILD, BMY, VRTX"
2026-07-17,9807.651981964094,100.0,-0.0101748539575554,False,9990.0,"MNST, JNJ, SNA, INCY, ABBV, EW, CL, AME, WTS, NYT, KO, LIN, AM, PG, DTM, GILD, BMY, VRTX"
