,Gold,SectorEW,FMTS,OTP2.0
2009-09-30,0.059157283882351974,0.055280324007318304,0.0024409846862729623,0.01722201216980057
2009-10-31,0.02276113974877836,-0.012372586762632864,0.022322513650252507,-0.01592091453919009
2009-11-30,0.12366185682848063,0.060499560641221084,0.027265877078519685,0.016567671061868516
2009-12-31,-0.01494964853702263,0.06848333036849774,0.04042221534275514,0.012628684097420795
2010-01-31,-0.021684330576137167,-0.06556251115808631,-0.03713423818000949,-0.03188895140633341
2010-02-28,-0.009482613057473777,0.060048327596219364,0.019013327698293336,0.007998412418887657
2010-03-31,0.001645561773562676,0.09195028976186403,0.029857876047372667,0.036861811700653835
2010-04-30,0.01767664117437584,0.04694417790999972,0.020749404258712856,-0.015199924495486128
2010-05-31,0.003340900999180274,-0.08219992780858898,-0.026336878579511835,-0.018012539410624973
2010-06-30,0.00010787203253737054,-0.07628573056439614,-0.003873324375474274,-0.013756805267212902
2010-07-31,-0.004014747414616493,0.07394633244382409,0.03910620322788105,0.020646449604864836
2010-08-31,0.04106413895319094,-0.06771125077218654,0.0017786649706579283,-0.02298592204500849
2010-09-30,0.04984889085875488,0.11710817261057693,0.04103930916685683,0.03130374198055974
2010-10-31,0.030718974971189805,0.022947834878168205,0.040018864540342314,0.027387709257158166
2010-11-30,0.01675853397689897,0.012829967284610166,0.004827119527928803,-0.00326851262264094
2010-12-31,0.0001229360126799861,0.07318180832299048,0.022683864743945126,0.03143845183965488
2011-01-31,0.00012055041452385673,0.033307774913288624,-0.003527937700618766,0.02788439511453089
2011-02-28,-0.0028177498835255665,0.04710431696654305,0.03456101904163389,0.03132213980950338
2011-03-31,0.02100331693776014,0.02827295922601447,0.019186437145775503,-0.01838830045169859
2011-04-30,0.08138159260482447,0.018583294805200934,0.03337747593032403,0.01472020754979586
2011-05-31,-0.023775847719755716,-0.02547301574248373,0.013837228256511569,-0.01014839448575977
2011-06-30,-0.0007704907528612859,-0.013320394379799483,-0.012550095332577671,-0.0041015688963546015
2011-07-31,0.08387139446496583,-0.03239248994988386,-0.04218190252910248,-0.0035680726817693964
2011-08-31,0.14125568344131323,-0.08800438535186572,-0.03280034056856718,-0.01814416594139867
2011-09-30,1.1507070285077248e-05,-0.13545101581743013,-0.013593285412417888,-0.01566208528233437
2011-10-31,0.006787554610781399,0.1491307421020227,0.02361587031777912,0.02374475821574351
2011-11-30,-0.011685341687991846,0.0005538004283971443,0.01752189212761035,-0.01303950076734961
2011-12-31,9.523180338533166e-06,-0.006264163821843027,0.03720911790143555,0.007332049847375899
2012-01-31,0.01113927011734761,-0.00324220602309655,-0.027307702045072713,0.02157794918755207
2012-02-29,-0.008023681299273111,0.025467899503648583,0.022034158197520082,0.033899871352365274
