ticker,rs_ratio,rs_momentum,quadrant,heading,angle_deg,distance,delta_distance,straightness,tail_r2,quadrant_run,pred_excess,rrg_score,hit_1M_pct,n_1M,hit_3M_pct,n_3M,tercile,tail_vs_null,rank,sector
XLC,97.41221169998225,99.26967977821633,Lagging,N,73.90754274700453,2.0187979202336535,-0.48383353948980945,0.14084504990352703,0.9519005377383111,11.0,0.002205040372766706,100.0,48.19830146027416,1023,48.9470272760175,1000,2,0.1831535109278635,1,Communication Services
XLF,99.08514277892445,101.23049063314201,Improving,NE,55.04394060068069,1.7978977887976162,-0.013986982872577602,0.5906374498269181,0.9036728733098605,30.0,0.0014135748576329197,90.0,46.35302435397758,1154,41.19590799323588,1139,2,0.7680591025057453,2,Financials
XLY,97.83799546473705,100.62113215484055,Improving,N,88.84366243403413,2.852652349034625,-0.18419412666228574,0.8465995548584759,0.9963803720278245,8.0,0.0004728217167373906,80.0,48.61643282460298,1001,51.99793072344507,997,3,1.100909694224286,3,Consumer Discretionary
XLK,102.17728797214889,100.41044138134791,Leading,SW,-150.70266564428988,3.6487373236578544,1.1919209514630356,0.12189684711596296,0.9542139425901454,12.0,0.00033230561544704204,70.0,47.19779092231434,854,54.36891350592747,848,3,0.15851345528733804,4,Information Technology
XLRE,99.51889673843405,99.85945113910802,Lagging,SW,-114.78276190866808,0.9499346083983304,-0.6697748460498985,0.34173148029741623,0.7906253917255126,7.0,-0.0002895282683675935,60.0,50.972964196794365,1058,47.125742835464166,1051,1,0.4443842396585387,5,Real Estate
XLI,100.42379040826955,99.70615655692437,Weakening,NE,60.239391668427054,1.0809727718341886,-0.5532687869329094,0.3052231492743604,0.9694829071487879,4.0,-0.00043290090584542006,50.0,54.5533202771607,982,52.08339219667217,976,1,0.3969091668067105,6,Industrials
XLV,99.64770750215843,100.15611876033638,Improving,NE,54.92923465682454,0.8070935006346805,-1.252084318913588,0.7401323931117171,0.9964755789303131,1.0,-0.0010964187720249193,40.0,45.209900499896186,980,46.12824022683357,974,1,0.9624608493000222,7,Health Care
XLP,99.06269649464204,99.69038781687841,Lagging,SW,-129.55823252338354,1.660839132443532,0.6224588921942489,0.28727440173096763,0.9341125768729654,11.0,-0.002568239872422212,30.0,48.19830146027416,1023,48.9470272760175,1000,2,0.37356879288812433,8,Consumer Staples
XLB,99.82177899547678,99.12893131434701,Lagging,SW,-128.83825398534174,0.9724267162946899,-0.19260678454271718,0.45525090605175106,0.9471076174848218,7.0,-0.002994074721674616,20.0,50.972964196794365,1058,47.125742835464166,1051,1,0.5920037790009767,9,Materials
XLE,100.38059117774226,98.74890577389633,Weakening,SW,-115.44253179737166,1.4776526760004844,-0.1600489672242913,0.7404732430045093,0.9839348173945218,9.0,-0.0030396597946532413,10.0,54.5533202771607,982,52.08339219667217,976,1,0.9629040871320017,10,Energy
XLU,98.7963322773301,99.22704750672662,Lagging,SW,-130.4532779016662,1.8942589079803442,0.6866473540005165,0.5095273837204705,0.9711614688878565,9.0,-0.0033440413145931444,0.0,48.19830146027416,1023,48.9470272760175,1000,2,0.6625843741488563,11,Utilities
