date,v4_portfolio,v4_invested_pct,spx_portfolio
1993-01-04,100.0,76.99808429650983,100.0
1993-01-05,101.05424189895469,76.99808429650983,99.76112624988329
1993-01-06,102.4380582123769,79.55752515902273,99.80246776161157
1993-01-07,101.88413944244223,79.55752515902273,98.93196889054747
1993-01-08,101.49646256816935,79.55752515902273,98.54609375284757
1993-01-11,102.38453195831234,78.1908577957085,98.9824997413527
1993-01-12,102.42260053359782,78.1908577957085,99.00317049721686
1993-01-13,105.29177846748556,76.85793457832936,99.46024023217417
1993-01-14,107.62240088885319,74.85033835584676,100.12862270942932
1993-01-15,107.29543762312316,74.85033835584676,100.4065388841521
1993-01-18,107.49066881452094,77.85033835584676,100.33533727748274
1993-01-19,107.02775374707912,84.71020301350805,99.94257889724007
1993-01-20,106.75856337856055,88.82612180810483,99.53833209079826
1993-01-21,108.49352491167434,90.3620427174965,100.02526192069665
1993-01-22,108.71261231193637,90.3620427174965,100.16766513403542
1993-01-25,109.84745863218168,87.47413643389991,101.06343994462009
1993-01-26,110.60946129668375,85.83258573834468,101.04965944071066
1993-01-27,109.0048665459201,84.40468742144829,100.62703395611494
1993-01-28,108.17313303505817,84.40468742144829,100.753364587834
1993-01-29,108.2459600203045,86.05759192960143,100.78092559565283
1993-02-01,110.23354573480728,84.28584636152796,101.63994304992974
1993-02-02,110.74043163914389,84.28584636152796,101.64683330188444
1993-02-03,110.89419140528287,80.54678201382428,102.71487142074895
1993-02-04,110.84041089302742,81.92821988761708,103.25692326628504
1993-02-05,109.61514731198947,83.8720943230485,103.1122209658241
1993-02-08,108.74106872160655,83.8720943230485,102.8641648860424
1993-02-09,107.77927880195195,82.18453881811885,102.28535568419852
1993-02-10,109.54494647913448,82.18453881811885,102.49207726166387
1993-02-11,108.34916942106601,82.18453881811885,102.82052428719189
1993-02-12,106.13178433621917,80.21566529992128,102.1130923759187
1993-02-16,101.75674033189081,68.5360598586211,99.6623636353951
1993-02-17,101.598209974141,61.647771319932374,99.52225249976662
1993-02-18,102.69136074141625,57.57131986449654,99.20069572619333
1993-02-19,102.88384700548218,55.074931510829,99.73356524206447
1993-02-22,101.60111993886449,53.54061860357593,99.96784081793672
1993-02-23,100.78308320075473,53.54061860357593,99.86677911632627
1993-02-24,103.78012263982495,51.56143049783123,101.26096517359653
1993-02-25,104.10676712751614,51.56143049783123,101.59860153820146
1993-02-26,103.52871142655786,51.56143049783123,101.83747528831817
1993-03-01,103.31975881962121,50.33789691698913,101.5228087666996
1993-03-02,104.48310148219994,48.814288462783686,102.87564630282961
1993-03-03,105.62109411206151,48.814288462783686,103.18802074673792
1993-03-04,104.53476173586643,48.814288462783686,102.74702359340031
1993-03-05,104.81793811828672,48.814288462783686,102.46450924443306
1993-03-08,105.1244488018161,46.196661786983526,104.43979658125745
1993-03-09,105.3093141292551,44.66970936415057,104.3685949745881
1993-03-10,105.64191667219518,47.66970936415057,104.81188420563596
1993-03-11,105.91381930011543,45.48931042493229,104.21241125733991
1993-03-12,106.00902336128797,43.770618383105734,103.31893553387748
1993-03-15,106.7178028147537,43.770618383105734,103.68643199342348
1993-03-16,106.43862798061537,46.770618383105734,103.67265148951408
1993-03-17,105.25903062778343,49.16985081900657,102.96981775248533
1993-03-18,105.46936172236434,50.52046192185791,103.79209186927841
1993-03-19,104.4996465363625,50.52046192185791,103.39932647962375
1993-03-22,103.97715246994659,50.52046192185791,103.10073954903685
1993-03-23,103.73881787411786,50.52046192185791,103.073178541218
1993-03-24,103.39197654470462,53.52046192185791,102.91469573684759
1993-03-25,104.89069142015677,53.52046192185791,103.56010837111637
1993-03-26,104.91195247998554,53.52046192185791,102.84808529501073
1993-03-29,105.07618792123014,53.52046192185791,103.53483944100779
1993-03-30,105.37319963188546,55.22876549632555,103.8104635380203
1993-03-31,105.87244554852411,55.22876549632555,103.74156101847316
1993-04-01,105.16746563077118,56.482093792470124,103.42688748744264
1993-04-02,103.11935183449148,53.087939358697,101.38040555336083
1993-04-05,103.37977449138826,55.470268841386286,101.58712012141422
1993-04-06,102.57077676008859,56.88789527875491,101.32757561543337
1993-04-07,103.81875794798758,56.88789527875491,101.68818182302468
1993-04-08,103.04295830149954,58.13750006175874,101.48375933268154
1993-04-12,104.4364719994309,56.46481471074725,102.98359825639476
1993-04-13,104.58939596807993,56.46481471074725,103.17883140766095
1993-04-14,103.7615858826343,56.46481471074725,103.05020869823163
1993-04-15,103.35071591305191,56.46481471074725,102.99048850834949
1993-04-16,102.26281905042708,56.46481471074725,103.11452005294628
1993-04-19,101.3727200545412,56.46481471074725,102.77458460121913
1993-04-20,101.90776294345159,56.46481471074725,102.232532755683
1993-04-21,102.33377458796173,56.46481471074725,101.89489639107808
1993-04-22,101.71664054746384,56.46481471074725,100.93710931290099
1993-04-23,100.38580671035918,56.46481471074725,100.37897787633321
1993-04-26,99.26605347641173,56.46481471074725,99.57738152481625
