label,cagr_pct,vol_pct,sharpe,sortino,max_dd_pct,worst_year_pct,final
Momentum top30 (12-1),23.19062843776183,22.42716645491125,0.918660758159758,1.3785478112753007,-55.854910784012304,-47.690795557218436,8332.725903204713
Momentum top30 + SPY trend,19.953054088062917,16.888983032057965,0.9946339191643685,1.6027847305565495,-23.1377249942632,-11.761928156282364,4721.044187817048
Equal-wt hold (survivors),16.13074796863325,16.556733696361636,0.8142978008606963,1.0588420073710154,-47.46720402815262,-33.007293454248234,2395.3973430559463
SPY buy & hold,11.044395706970134,14.93190225226927,0.5816002384328477,0.7324371443737991,-50.78483129039506,-36.79501146774289,934.5339744034078
