lookback,shrink,rebal_months,cagr_pct,sharpe,max_dd_pct,t_nw
126,0.4,1,-5.051908977265862,-0.5209233861672837,-74.23769138885568,-1.3980508980880941
126,0.4,3,-4.761297697207589,-0.52146348777757,-71.9974247474463,-1.3497412691154222
126,0.6,1,-2.600274087972254,-0.32520114886463874,-62.94279742052113,-0.5335301008674825
126,0.6,3,-2.2526302231616335,-0.3214290003196905,-58.030225409555655,-0.46205652676848047
126,0.8,1,,-0.17698657594428,-102.18029870157943,-0.4350979375325462
126,0.8,3,,-0.21149341823776036,-102.15406336300603,-0.5222107236060632
252,0.4,1,-5.9942850790422835,-0.5804060288169478,-79.01153321440563,-1.6840972714355873
252,0.4,3,-5.768594260383875,-0.5840584065942288,-77.54773373631721,-1.658634577973992
252,0.6,1,-3.8443649986845907,-0.42819650435745943,-65.971571721885,-0.9827399914801862
252,0.6,3,-3.6438378947441064,-0.43107356742765396,-63.91161351709429,-0.9557469923381724
252,0.8,1,-1.6089729712007284,-0.2194645640488336,-58.55185039584141,-0.1291553309736611
252,0.8,3,-1.6091758386886368,-0.24270766272030891,-57.48223511610502,-0.1771077709227634
500,0.4,1,-6.177686577905561,-0.6064045777326899,-79.35455161740727,-1.7865272616400036
500,0.4,3,-5.718816285274498,-0.587750738659053,-78.41406132244919,-1.6632500553399867
500,0.6,1,-4.368129866469039,-0.4930303605422358,-71.2285034084813,-1.2341819689629425
500,0.6,3,-3.903776808732695,-0.4690427258855157,-70.06368570527357,-1.09422197242994
500,0.8,1,-2.623757545740657,-0.3438195232213742,-66.81625380700295,-0.5836879607440131
500,0.8,3,-2.117568206799547,-0.3140180780944174,-64.76600084435019,-0.42472558328245247
