date,nav,daily_log_ret,invested_pct,holdings,rebalanced
2026-08-06,9997.5,0.0,100.0,Gold 25% / SectorEW 25% / FMTS 25% / OTP2.0 25%,True
2026-08-07,9998.382220749758,8.824024272498655e-05,100.0,Gold 25% / SectorEW 25% / FMTS 25% / OTP2.0 25%,False
2026-08-10,10028.16554409434,0.0029743863647388,100.0,Gold 25% / SectorEW 25% / FMTS 25% / OTP2.0 25%,False
2026-08-11,9971.07670793773,-0.0057091154254622,100.0,Gold 25% / SectorEW 26% / FMTS 24% / OTP2.0 25%,False
2026-08-12,9988.424504683177,0.0017383000636085,100.0,Gold 25% / SectorEW 26% / FMTS 24% / OTP2.0 25%,False
2026-08-13,10015.81727041869,0.0027386974387748,100.0,Gold 25% / SectorEW 26% / FMTS 24% / OTP2.0 25%,False
2026-08-14,10015.398773268507,-4.178449768913953e-05,100.0,Gold 25% / SectorEW 26% / FMTS 24% / OTP2.0 25%,False
2026-08-17,10009.215846465468,-0.0006175326833438,100.0,Gold 25% / SectorEW 26% / FMTS 24% / OTP2.0 25%,False
2026-08-18,9997.196800524036,-0.0012015194927192,100.0,Gold 25% / SectorEW 26% / FMTS 24% / OTP2.0 25%,False
2026-08-19,9966.716540622829,-0.0030535379575889,100.0,Gold 25% / SectorEW 26% / FMTS 24% / OTP2.0 25%,False
2026-08-20,9944.147706221089,-0.0022669878903785,100.0,Gold 25% / SectorEW 26% / FMTS 24% / OTP2.0 25%,False
2026-08-21,9972.81343610043,0.0028785264446702,100.0,Gold 25% / SectorEW 26% / FMTS 24% / OTP2.0 25%,False
2026-08-24,9964.4630382254,-0.0008376669074196,100.0,Gold 25% / SectorEW 26% / FMTS 25% / OTP2.0 25%,False
2026-08-25,9947.296422834945,-0.0017242694878076,100.0,Gold 25% / SectorEW 25% / FMTS 24% / OTP2.0 25%,False
2026-08-26,9967.322671450886,0.0020112114895691,100.0,Gold 25% / SectorEW 26% / FMTS 24% / OTP2.0 25%,False
2026-08-27,9972.618650667071,0.0005311930717509669,100.0,Gold 25% / SectorEW 26% / FMTS 24% / OTP2.0 25%,False
