size,combo,cagr_pct,sharpe,max_dd_pct
1,Gold,10.644848856015221,0.8201150575812558,-9.026170059233923
1,SectorEW,14.085472639635732,0.7367996969877242,-26.641303478314043
1,FMTS,10.830786559337824,0.6759871000257947,-16.91337438336213
1,OTP2.0,12.84705448407506,0.8557808578407275,-10.306999536284783
2,Gold+SectorEW,12.78070236074662,1.0289601711336231,-8.63778456098713
2,Gold+FMTS,11.008219427201936,0.9859915201913156,-6.933099879597322
2,Gold+OTP2.0,12.020450347952828,1.1744757619376467,-4.534890019259463
2,SectorEW+FMTS,12.67882050060216,0.7965907924381431,-17.848352070236793
2,SectorEW+OTP2.0,13.79421022877274,0.9474196538706244,-16.302600606580672
2,FMTS+OTP2.0,12.1179300110972,0.9787481727105789,-12.328888911271301
3,Gold+SectorEW+FMTS,12.257616374855406,1.0065114392947843,-10.001854827810702
3,Gold+SectorEW+OTP2.0,12.979765354600993,1.1711295407643363,-7.898620018287549
3,Gold+FMTS+OTP2.0,11.808449906920494,1.2061675299871824,-7.852464820423911
3,SectorEW+FMTS+OTP2.0,12.95710224256057,0.9656848443935884,-13.723380632191134
4,Gold+SectorEW+FMTS+OTP2.0,12.551350194281197,1.139454663397053,-9.111201667400953
