ticker,sector,rrg_score,setup,W_pct,baseline_pct,edge_pp,R,n,exp_1M_pct,kelly_binary_pct,kelly_wealth_pct,kelly_cont_pct,k_half_pct,k_quarter_pct,recommended_pct,recommended_dollars
TMUS,Communication Services,100.0,Improving -> potential leader,,,,,,,,,,,,,
AVB,Real Estate,100.0,Improving,,,,,,,,,,,,,
SPGI,Financials,100.0,Improving -> potential leader,51.314071699542474,52.39195302724035,-1.0778813276978738,1.0939727184501356,3126.0,0.31755877085083783,6.810285197962834,158.22808826779465,53.03090560475153,20.0,20.0,0.0,0.0
NTRS,Financials,98.18181818181819,Weakening,53.03536360798581,52.39195302724035,0.64341058074546,1.0468605347091906,5250.0,0.4240272210961832,8.173001492997312,165.39778322689799,80.18714888788489,20.0,20.0,0.0,0.0
BNY,Financials,96.36363636363636,Weakening,53.03536360798581,52.39195302724035,0.64341058074546,1.0468605347091906,5250.0,0.4240272210961832,8.173001492997312,165.39778322689799,80.18714888788489,20.0,20.0,0.0,0.0
