date,nav,invested_pct,daily_log_ret,risk_on,peak_nav,holdings
2026-07-21,9990.0,100.0,0.0,True,9990.0,"SNDK, WDC, MU, STX, LITE, CIEN, INTC, DELL, ECHO, FIX, VRT, GNRC, NUE, CAT, GEV, STLD, MRNA, JBHT, APA, PWR"
2026-07-22,9956.281640519805,100.00000000000004,-0.0033809200337545,True,9990.0,"SNDK, WDC, MU, STX, LITE, CIEN, INTC, DELL, ECHO, FIX, VRT, GNRC, NUE, CAT, GEV, STLD, MRNA, JBHT, APA, PWR"
2026-07-23,10120.807965003232,100.00000000000004,0.0163898264847478,True,10120.807965003232,"SNDK, WDC, MU, STX, LITE, CIEN, INTC, DELL, ECHO, FIX, VRT, GNRC, NUE, CAT, GEV, STLD, MRNA, JBHT, APA, PWR"
2026-07-24,9637.861317150451,100.00000000000004,-0.0488942701698576,True,10120.807965003232,"SNDK, WDC, MU, STX, LITE, CIEN, INTC, DELL, ECHO, FIX, VRT, GNRC, NUE, CAT, GEV, STLD, MRNA, JBHT, APA, PWR"
2026-07-27,9419.73630786744,100.00000000000004,-0.0228921335405202,True,10120.807965003232,"SNDK, WDC, MU, STX, LITE, CIEN, INTC, DELL, ECHO, FIX, VRT, GNRC, NUE, CAT, GEV, STLD, MRNA, JBHT, APA, PWR"
2026-07-28,9036.094870616547,100.00000000000004,-0.0415799976675517,True,10120.807965003232,"SNDK, WDC, MU, STX, LITE, CIEN, INTC, DELL, ECHO, FIX, VRT, GNRC, NUE, CAT, GEV, STLD, MRNA, JBHT, APA, PWR"
2026-07-29,8657.66289647766,100.00000000000004,-0.0427822849675089,True,10120.807965003232,"SNDK, WDC, MU, STX, LITE, CIEN, INTC, DELL, ECHO, FIX, VRT, GNRC, NUE, CAT, GEV, STLD, MRNA, JBHT, APA, PWR"
2026-07-30,9219.276921606232,100.00000000000004,0.0628517967386074,True,10120.807965003232,"SNDK, WDC, MU, STX, LITE, CIEN, INTC, DELL, ECHO, FIX, VRT, GNRC, NUE, CAT, GEV, STLD, MRNA, JBHT, APA, PWR"
2026-07-31,9338.70004823481,100.00000000000004,0.0128704519183579,True,10120.807965003232,"SNDK, WDC, MU, STX, LITE, CIEN, INTC, DELL, ECHO, FIX, VRT, GNRC, NUE, CAT, GEV, STLD, MRNA, JBHT, APA, PWR"
2026-08-03,9310.721265572814,100.00000000000003,-0.0009995003330837216,True,10120.807965003232,"SNDK, MU, WDC, INTC, STX, GLW, LITE, MRVL, FIX, MRNA, VRT, CAT, GNRC, GEV, PWR, VLO, JBHT, CMI, DVA, HUM"
