group_frac,lookback,skip,cagr_pct,sharpe,max_dd_pct,t_nw
0.1,36,6,-1.283396495019029,-0.5444979415452125,-39.170722689032786,-0.61502403478632
0.1,36,12,-1.1707231879629298,-0.5554924870071437,-45.47058379138539,-0.5865101467479334
0.1,48,6,-1.1119071295151217,-0.5198903506068787,-39.42154207478774,-0.5286582942854678
0.1,48,12,-0.2510823578557253,-0.4356730073477921,-38.22544438129393,-0.010765120565922324
0.1,60,6,-0.09924812653205883,-0.40997012966639124,-24.624757718289292,0.09549074891101621
0.1,60,12,-0.4659493437729756,-0.5041412885932363,-29.45103801168893,-0.1973323973529915
0.2,36,6,-0.6776630219546553,-0.630052652953882,-27.88305553369567,-0.4176461110847786
0.2,36,12,-0.965042272624983,-0.7278589511249821,-31.371722503364442,-0.708066260553112
0.2,48,6,-1.0096108048635921,-0.7075236237843718,-33.218412218325476,-0.729874491856412
0.2,48,12,-0.7329107975270976,-0.7395923022445787,-33.99390410274688,-0.5922271865628751
0.2,60,6,-0.1900123423537292,-0.599707092817997,-20.550402198528555,-0.057453247095467
0.2,60,12,-0.533560517755649,-0.7279099348414182,-21.854177476971522,-0.4389730464990533
