str_mult,tercile_min,min_leg_names,cagr_pct,sharpe,t_nw
0.8,1,1,-2.373696249976376,-0.758604283802782,-1.5377244821244356
0.8,1,3,-2.373696249976376,-0.758604283802782,-1.5377244821244356
0.8,1,5,-2.1619488299503,-0.7187522547252485,-1.366147386690682
0.8,2,1,-2.5195654620384644,-0.7248742931170035,-1.5081201490608738
0.8,2,3,-2.544398036065576,-0.7302101155097758,-1.525011520875047
0.8,2,5,-2.4407428463321557,-0.7080735946543797,-1.4421101653511212
0.8,3,1,-2.8413175425399118,-0.6546586243713357,-1.4045195121663252
0.8,3,3,-3.7383034071404753,-0.7478381827697765,-1.8891008631743924
0.8,3,5,-3.619057660582592,-0.6750797746064664,-1.7519119322271002
1.0,1,1,-2.70529395183422,-0.7727850436389538,-1.7036937282133682
1.0,1,3,-2.5116408469809004,-0.7364483671727301,-1.5452421332832988
1.0,1,5,-2.529867519523965,-0.7368733394560593,-1.556196742860021
1.0,2,1,-2.945123042752218,-0.7420714240065422,-1.708622331970027
1.0,2,3,-2.7779886481136162,-0.7151327295625568,-1.5865943462175778
1.0,2,5,-2.5746817442747094,-0.6885289370083748,-1.451597991991344
1.0,3,1,-3.067846470919011,-0.6258251574536032,-1.400531072550292
1.0,3,3,-4.163597089249049,-0.7354577812196683,-1.9817760347528763
1.0,3,5,-5.0810636471112165,-0.7565688059229069,-2.337616226263786
1.2,1,1,-3.0668331253841274,-0.7293673654280137,-1.6840319902920364
1.2,1,3,-3.1629755835857476,-0.737255588294432,-1.7330971158693957
1.2,1,5,-3.0065587629483415,-0.7197325793583904,-1.6574047930427445
1.2,2,1,-3.33240700935975,-0.7226374143275595,-1.7257579325966532
1.2,2,3,-3.8590544279968553,-0.7679959242284409,-1.9539694177079596
1.2,2,5,-4.176009242608092,-0.7917485083827035,-2.0470065855205637
1.2,3,1,-4.70985365720159,-0.6831151605687431,-1.9169945573797096
1.2,3,3,-5.247527658666574,-0.601453249725602,-1.7355092420375293
1.2,3,5,-0.332805450630802,-0.1406622755911909,0.23726805049698868
