Cohort,OT2.0 Sharpe,OT2.0 CAGR,OT2.0 MaxDD,Cohort B&H Sharpe,Cohort B&H CAGR,SPX Sharpe,SPX CAGR
1993-1995,1.102,22.92%,-10.5%,1.074,30.28%,0.867,12.51%
1996-1998,0.823,14.72%,-8.2%,1.010,35.30%,1.057,25.74%
1999-2001,-0.374,-0.84%,-30.1%,-0.184,-2.31%,-0.328,-2.23%
2002-2004,0.100,2.22%,-15.9%,0.011,1.58%,-0.011,1.11%
2005-2007,1.356,23.94%,-12.0%,1.410,34.31%,0.252,7.35%
2008-2010,0.350,5.14%,-21.8%,0.111,3.96%,-0.145,-3.78%
2011-2013,1.216,20.08%,-16.1%,0.892,20.70%,0.752,13.38%
2014-2016,0.233,2.53%,-9.4%,0.525,10.75%,0.518,7.33%
2017-2019,1.128,20.79%,-13.7%,0.953,25.71%,0.795,12.53%
2020-2022,0.574,8.11%,-12.9%,0.359,12.11%,0.183,5.62%
2023-2025,0.143,6.41%,-17.3%,-0.056,3.81%,0.981,21.27%
2026-present (Live),0.166,6.59%,-11.5%,0.506,14.73%,0.873,17.10%
