label,sharpe,sortino,cagr_pct,vol_pct,max_dd_pct,worst_year_pct,avg_inv_pct,avg_active,avg_hhi,reload_count,reloads_blocked
SPX B&H,0.31068032531557255,-0.1525159906076828,8.951120391974676,18.060941718009445,-56.77538774277292,-38.4857930609068,100.0,1.0,1.0,0,0
7-stock B&H,0.5785103238988378,-0.15107644382818133,14.466410709210464,18.24071003199072,-43.60164777300562,-28.04209479113301,100.0,6.850561797752809,0.14641519529159977,0,0
OT2.0 on SPX,0.3696437764898951,-0.31948702547347435,6.336256205581092,8.616171590918283,-23.7489627496606,-12.744452009689288,61.87342437666602,1.0,1.0,344,0
OT2.0 + Baseline (equal-wt),0.6389631422578161,-0.2837508325462197,9.68152921153813,9.828704933711176,-26.11700880316198,-15.252756904113685,61.87342437666602,6.850561797752809,0.14641519529159977,344,0
OT2.0 + RRG filter,0.5730739916087314,-0.2676237860196306,9.435875659012094,10.576601916046013,-26.675682590380628,-19.20055285147788,61.87342437666602,5.282696629213483,0.21927456533645448,344,0
OT2.0 + OBV filter,0.5972165344056036,-0.2786778111690026,9.312705898891771,9.948787232364577,-27.911892753102485,-17.753923811291806,61.87342437666602,6.850561797752809,0.157412901026913,344,0
OT2.0 + RRG + OBV,0.548016953819709,-0.2632582293639512,9.219410879843014,10.697148753283853,-27.00415134815271,-19.443191514694004,61.87342437666602,5.282696629213483,0.23090212567429477,344,0
