ticker,rs_ratio,rs_momentum,quadrant,heading,angle_deg,distance,delta_distance,straightness,tail_r2,quadrant_run,pred_excess,rrg_score,tercile,hit_1M_pct,n_bucket,R,mean_loss,bucket_mean,bucket_std,baseline_hit,sector_etf,sector,setup
TMUS,99.07310864002152,100.46392788132665,Improving,NE,54.990119389643795,2.8621994122100496,1.0859962533918297,0.32158385508012727,0.7730193230933216,34.0,0.001962335646275061,100.0,,,,,,,,,XLC,Communication Services,Improving -> potential leader
PSKY,98.90064233036216,100.2878497935349,Improving,NE,59.907003452820796,1.1855983310397709,-0.22720358165517562,0.24401440965475257,0.812095199139028,14.0,0.0013149740100061715,94.11764705882354,,,,,,,,,XLC,Communication Services,Improving
CMCSA,98.87328018268593,99.26018104828866,Lagging,N,71.24952668180003,2.377983873133032,0.38705273873490476,0.2980707286520458,0.8140819130612453,13.0,0.0011125517332549722,88.23529411764706,,,,,,,,,XLC,Communication Services,Lagging
GOOG,101.268399773148,99.5165165771437,Weakening,S,-91.97154255785108,1.766829987022778,0.514679653383183,0.4315306303494059,0.6398974316880103,30.0,0.0004207122996108333,82.3529411764706,,,,,,,,,XLC,Communication Services,Weakening
GOOGL,101.26712866081509,99.49287455446299,Weakening,S,-89.24027736252323,1.8139876024488668,0.5338456748665679,0.4311409955796788,0.6546422065581562,30.0,0.0003939067433220949,76.47058823529412,,,,,,,,,XLC,Communication Services,Weakening
META,99.26999022784055,100.625199311136,Improving,NE,65.79895494676309,1.4944808542061885,0.153001810437857,0.6308513994393603,0.9026258983035828,26.0,0.00026072862813735485,70.58823529411765,,,,,,,,,XLC,Communication Services,Improving -> potential leader
TTD,98.94606532071035,100.46341279806903,Improving,NE,63.232783062693606,18.3948005153164,7.980915613033522,0.886151783911836,0.9822075429939974,11.0,3.212346437470192e-05,64.70588235294117,,,,,,,,,XLC,Communication Services,Improving -> potential leader
DIS,99.32645457020787,100.63196224656339,Improving,N,81.10343872609793,2.062264464362,-0.07465575085887277,0.7067463368619377,0.8354554966748896,10.0,-8.52372986414107e-05,58.8235294117647,,,,,,,,,XLC,Communication Services,Improving
TKO,100.62701998516354,101.096010782827,Leading,NE,60.61360707844054,1.3730174940129622,-1.3233618198068349,0.7847903793113108,0.9459884380769356,4.0,-0.00030921168248716367,52.94117647058823,,,,,,,,,XLC,Communication Services,Established leader
NWSA,100.59914539971784,101.1112156211262,Leading,E,-12.037758358360012,1.4918519234481142,-2.2344702646128463,0.9715553719178602,0.9925997543809519,4.0,-0.0007134864656055288,47.05882352941177,,,,,,,,,XLC,Communication Services,Established leader
